generation,best_fitness,min_fitness,max_fitness,mean_fitness,std_fitness,gene_0,gene_1,gene_2,gene_3,gene_4,gene_5
53,5.52345,5.56789,554.328,60.6037,91.6499,-783.432,174.438,426.018,55.0482,1002.56,4422.17
54,5.52345,5.55814,501.481,60.4358,93.0326,-783.432,174.438,426.018,55.0482,1002.56,4422.17
55,5.49919,5.49919,494.834,55.4626,91.7085,-777.328,171.666,426.724,52.0486,1006.44,4583.79
56,5.49919,5.60481,491.124,54.4709,81.9986,-777.328,171.666,426.724,52.0486,1006.44,4583.79
57,5.49919,5.52121,681.608,53.8167,88.0975,-777.328,171.666,426.724,52.0486,1006.44,4583.79
58,5.43816,5.43816,597.699,56.4172,90.6627,-777.179,173.477,425.824,52.0547,1050.5,4535.99
59,5.43816,5.51868,653.658,61.0221,100.972,-777.179,173.477,425.824,52.0547,1050.5,4535.99
60,5.43061,5.43061,546.15,58.1413,93.2429,-777.994,174.901,424.431,52.5355,1041.1,4630.9
61,5.43061,5.60396,638.388,54.351,84.3222,-777.994,174.901,424.431,52.5355,1041.1,4630.9
62,5.43061,5.45997,595.961,53.421,86.2982,-777.994,174.901,424.431,52.5355,1041.1,4630.9
63,5.43061,5.52594,622.819,57.3703,93.5595,-777.994,174.901,424.431,52.5355,1041.1,4630.9
64,5.43061,5.56326,551.656,54.4021,90.5237,-777.994,174.901,424.431,52.5355,1041.1,4630.9
65,5.41163,5.41163,517.571,56.2933,90.1025,-778.999,177.705,424.229,51.2686,1046.71,4636.13
66,5.37686,5.37686,415.038,47.8564,72.958,-778.786,177.35,423.39,51.9135,1044.23,4613.37
67,5.37686,5.44649,624.109,55.2362,91.6971,-778.786,177.35,423.39,51.9135,1044.23,4613.37
68,5.37686,5.44851,571.205,51.0179,83.4341,-778.786,177.35,423.39,51.9135,1044.23,4613.37
69,5.37686,5.51386,541.423,51.9741,84.1209,-778.786,177.35,423.39,51.9135,1044.23,4613.37
70,5.37686,5.45416,455.617,50.407,81.0076,-778.786,177.35,423.39,51.9135,1044.23,4613.37
71,5.37686,5.53795,547.613,53.4159,89.6255,-778.786,177.35,423.39,51.9135,1044.23,4613.37
72,5.37686,5.46257,475.089,53.1611,87.8455,-778.786,177.35,423.39,51.9135,1044.23,4613.37
73,5.37686,5.39789,627.466,52.7915,90.4628,-778.786,177.35,423.39,51.9135,1044.23,4613.37
74,5.37686,5.4928,599.114,49.8316,91.2705,-778.786,177.35,423.39,51.9135,1044.23,4613.37
75,5.37686,5.42722,548.93,45.3223,80.7047,-778.786,177.35,423.39,51.9135,1044.23,4613.37
76,5.37686,5.37909,612.103,50.3861,95.2015,-778.786,177.35,423.39,51.9135,1044.23,4613.37
77,5.37686,5.39494,565.034,43.9625,83.8149,-778.786,177.35,423.39,51.9135,1044.23,4613.37
78,5.37686,5.40538,616.035,41.0199,78.6756,-778.786,177.35,423.39,51.9135,1044.23,4613.37
79,5.37686,5.39978,605.559,39.7475,76.9036,-778.786,177.35,423.39,51.9135,1044.23,4613.37
80,5.37686,5.39482,591.113,41.168,80.793,-778.786,177.35,423.39,51.9135,1044.23,4613.37
81,5.37686,5.40908,433.071,43.0347,73.7607,-778.786,177.35,423.39,51.9135,1044.23,4613.37
82,5.37686,5.39036,429.947,41.6876,72.9784,-778.786,177.35,423.39,51.9135,1044.23,4613.37
83,5.37325,5.37325,553.191,42.0404,85.2197,-778.962,177.551,423.01,52.2159,1042.69,4609.66
84,5.37325,5.3975,489.368,34.3091,61.8671,-778.962,177.551,423.01,52.2159,1042.69,4609.66
85,5.37325,5.37615,558.772,39.2011,74.6376,-778.962,177.551,423.01,52.2159,1042.69,4609.66
86,5.37325,5.38536,524.167,37.9172,76.783,-778.962,177.551,423.01,52.2159,1042.69,4609.66
87,5.37325,5.37474,600.787,36.2018,70.2749,-778.962,177.551,423.01,52.2159,1042.69,4609.66
88,5.37237,5.37237,642.928,36.6802,75.9625,-778.996,177.536,423.011,52.2838,1044.63,4548.92
89,5.37237,5.37288,563.562,39.8648,86.1536,-778.996,177.536,423.011,52.2838,1044.63,4548.92
90,5.36754,5.36754,448.638,30.8834,55.0463,-779.027,176.057,423.696,52.8817,1040.04,4576.4
91,5.36754,5.36833,383.351,34.2248,68.3313,-779.027,176.057,423.696,52.8817,1040.04,4576.4
92,5.36586,5.36586,455.131,37.1135,73.8841,-778.893,176.306,423.093,53.0079,1039.31,4550.98
93,5.356,5.356,519.298,30.4358,66.2434,-779.139,177.802,422.278,52.6848,1041.18,4558.8
94,5.356,5.37639,371.748,30.6968,55.9644,-779.139,177.802,422.278,52.6848,1041.18,4558.8
95,5.356,5.35843,568.831,32.4013,66.4834,-779.139,177.802,422.278,52.6848,1041.18,4558.8
96,5.34861,5.34861,466.347,32.6712,65.2457,-778.371,177.579,421.563,52.7924,1040.07,4557.01
97,5.34861,5.35288,619.221,36.7197,83.7518,-778.371,177.579,421.563,52.7924,1040.07,4557.01
98,5.34861,5.35272,616.382,32.8233,69.9061,-778.371,177.579,421.563,52.7924,1040.07,4557.01
99,5.34861,5.37643,528.147,30.9743,68.124,-778.371,177.579,421.563,52.7924,1040.07,4557.01
100,5.34861,5.35185,573.441,29.3825,60.5581,-778.371,177.579,421.563,52.7924,1040.07,4557.01
101,5.34861,5.38408,618.965,35.5012,78.4128,-778.371,177.579,421.563,52.7924,1040.07,4557.01
102,5.34636,5.34636,532.254,30.3118,68.3263,-778.485,177.637,421.63,52.7504,1037.62,4570.12
103,5.34636,5.35372,388.305,26.6894,49.1178,-778.485,177.637,421.63,52.7504,1037.62,4570.12
104,5.34319,5.34319,475.857,27.9788,60.6732,-778.437,177.626,421.598,52.7658,1040.08,4592.14
105,5.34178,5.34178,426.838,28.9199,58.8769,-778.416,177.55,421.66,52.7681,1041.05,4560.69
106,5.34178,5.34229,577.954,28.9347,58.9482,-778.416,177.55,421.66,52.7681,1041.05,4560.69
107,5.34178,5.36397,444.447,24.1625,53.5113,-778.416,177.55,421.66,52.7681,1041.05,4560.69
108,5.34178,5.3421,557.952,28.5189,63.0424,-778.416,177.55,421.66,52.7681,1041.05,4560.69
109,5.34178,5.362,464.126,26.7103,57.4398,-778.416,177.55,421.66,52.7681,1041.05,4560.69
